1	160	40	4	300	10	26	19300	25600
2	160	40	4	300	30	26	19300	25600
3	160	40	4	300	7	26	2330	25600
4	160	40	4	300	7	26	19300	25600
5	160	40	4	300	7	26	2330	25600
6	160	40	4	300	1	26	19300	25600
7	200	40	3.5	135	7	9	2330	28000
8	240	40	2.6	70	10	2	19300	24960
9	240	40	2.6	70	30	2	19300	24960
10	240	40	2.6	70	7	2	2330	24960
11	240	40	2.6	70	7	2	19300	24960
12	240	40	2.6	70	7	2	2330	24960
13	240	40	2.6	70	1	2	19300	24960
14	500	30	3	17	30	0.3	2330	45000
15	175	40	3	150	30	9	19300	21000
16	240	30	3	75	30	2.5	19300	21600
17	175	40	3	150	7	9	2330	21000
18	240	30	3	75	7	2.5	2330	21600
19	500	30	3	17	7	0.3	2330	45000
20	175	40	3	150	7	9	2330	21000
21	240	30	3	75	7	2.5	2330	21600
22	240	30	3	75	30	2.5	19300	21600
23	175	40	3	150	30	9	19300	21000
24	240	30	3	75	7	2.5	2330	21600
25	175	40	3	150	7	9	2330	21000
26	65	31	2.9	1200	7	85	2330	5843.5
27	65	31	2.9	1200	7	85	2330	5843.5
28	500	30	2.7	15	10	0.2	2330	40500
29	500	30	2.7	15	10	0.2	2330	40500
30	210	30	2.7	80	10	2.7	2330	17010
31	150	30	2.7	150	10	7.4	2330	12150
32	100	50	2.7	350	10	40	2330	13500
33	210	30	2.7	80	10	2.7	2330	17010
34	150	30	2.7	150	10	7.4	2330	12150
35	100	50	2.7	350	10	40	2330	13500
36	500	30	2.7	19	250	0.5	2330	40500
37	210	30	2.7	110	250	6.5	2330	17010
38	150	30	2.7	200	250	18	2330	12150
39	100	50	2.7	450	250	100	2330	13500
40	125	30	4	320	20	42	2330	15000
41	125	30	4	320	10	42	2330	15000
42	125	30	4	330	10	42	2330	15000
43	240	35	3	75	10	2.8	2330	25200
44	240	35	3	75	10	2.8	2330	25200
45	160	45	4.6	285	10	42	2330	33120
46	160	45	4.6	285	10	42	2330	33120
47	35	42	0.7	2000	10	30	19300	1029
48	450	50	2	15	10	0.2	2330	45000
49	240	35	3	85	10	2.8	2330	25200
50	240	35	3	85	7	2.8	19300	25200
51	160	45	4.6	335	10	45	2330	33120
52	60	25	0.4	50	25	0.1	19300	600
53	60	25	0.4	50	25	0.1	19300	600
